Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 18
	output_dir: ./results_sweep_kl_gp_1/b3826edd939efb412d7ba1704a68580f
	save_model_every_checkpoint: False
	seed: 599104706
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [4]
	train_envs: [0]
	trial_seed: 0
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.0
	batch_size: 128
	class_balanced: False
	data_augmentation: True
	grad_penalty: 2.8227619645560384
	kl_reg: 0.020993597799524935
	kl_reg_aux: 0.0880992489769
	lr: 3.872163578520407e-05
	nonlinear_classifier: True
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.0
	specify_zdim: True
	weight_decay: 0.0
	z_dim: 256
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env4_in_acc   env4_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.1127303901  0.1066109504  0.1157308187  0.0000000000  0.8786605597  0.5769181252  2.2999014854  3.0013518333  0             0.1598429680 
0.1127303901  0.1066109504  0.1157308187  1.0000000000  0.1876096856  0.1731171036  2.3032900601  0.7151109672  73            0.0733477971 
0.1127303901  0.1066109504  0.1157308187  2.0000000000  0.0324103571  0.0315520094  2.3020965400  0.1226665808  146           0.0729272529 
0.1127303901  0.1066109504  0.1157308187  3.0000000000  0.0130027941  0.0168065061  2.3011424150  0.0620385554  219           0.0726354808 
0.1127303901  0.1066109504  0.1157308187  4.0000000000  0.0108393414  0.0104915769  2.3001152097  0.0433547965  292           0.0723791286 
0.1127303901  0.1066109504  0.1157308187  5.0000000000  0.0090455715  0.0056703940  2.3009263228  0.0344145608  365           0.0724361237 
0.1127303901  0.1066109504  0.1157308187  6.0000000000  0.0084099508  0.0042636297  2.3011614427  0.0281862618  438           0.0729341246 
0.1127303901  0.1066109504  0.1157308187  7.0000000000  0.0057530517  0.0044457602  2.3015387418  0.0234924729  511           0.0729438605 
0.1127303901  0.1066109504  0.1157308187  8.0000000000  0.0038793724  0.0040738485  2.3003659118  0.0216448406  584           0.0730430394 
0.1127303901  0.1066109504  0.1157308187  9.0000000000  0.0029014757  0.0049174518  2.3000808971  0.0192404414  657           0.0725465572 
0.1127303901  0.1066109504  0.1157308187  10.000000000  0.0028272900  0.0036697796  2.3005204593  0.0167836908  730           0.0721795755 
0.1127303901  0.1066109504  0.1157308187  11.000000000  0.0025752962  0.0032650853  2.3005100505  0.0162780139  803           0.0726415392 
0.1127303901  0.1066109504  0.1157308187  12.000000000  0.0045448231  0.0025181901  2.3008621523  0.0143442205  876           0.0720151973 
0.1127303901  0.1066109504  0.1157308187  13.000000000  0.0029474513  0.0020157262  2.3014249736  0.0142757940  949           0.0725920364 
0.1127303901  0.1066109504  0.1157308187  14.000000000  0.0020455792  0.0015909884  2.3004741963  0.0131970672  1022          0.0732048113 
0.1127303901  0.1066109504  0.1157308187  15.000000000  0.0025972765  0.0018087838  2.3012489750  0.0127881451  1095          0.0733522128 
0.1127303901  0.1066109504  0.1157308187  16.000000000  0.0023657524  0.0016934398  2.3000703217  0.0134900494  1168          0.0733313234 
0.1127303901  0.1066109504  0.1157308187  17.000000000  0.0012651845  0.0009440380  2.3020092233  0.0116023148  1241          0.0738554752 
0.1127303901  0.1066109504  0.1157308187  18.000000000  0.0024254306  0.0012110962  2.3015014668  0.0110768746  1314          0.0790957033 
0.1127303901  0.1066109504  0.1157308187  19.000000000  0.0009880850  0.0014838519  2.2998282060  0.0103142650  1387          0.0720127217 
