Environment:
	Python: 3.8.10
	PyTorch: 1.10.0+cu113
	Torchvision: 0.11.1+cu113
	CUDA: 11.3
	CUDNN: 8200
	NumPy: 1.21.4
	PIL: 8.4.0
Args:
	algorithm: KL_GP
	checkpoint_freq: None
	data_dir: /root/data
	dataset: RotatedMNIST
	epochs: None
	holdout_fraction: 0.2
	hparams: None
	hparams_seed: 19
	output_dir: ./results_sweep_kl_gp_1/c3023259b7a07d3bb11a7ec1cd6e4354
	save_model_every_checkpoint: False
	seed: 370900880
	skip_model_save: False
	steps: None
	task: domain_adaptation
	test_envs: [3]
	train_envs: [0]
	trial_seed: 1
	uda_holdout_fraction: 0
HParams:
	augment_softmax: 0.05
	batch_size: 64
	class_balanced: False
	data_augmentation: True
	grad_penalty: 2.0905676672943563
	kl_reg: 0.6141644958263719
	kl_reg_aux: 0.11312675119869514
	lr: 0.0002939271675355117
	nonlinear_classifier: True
	num_samples: 20
	resnet18: True
	resnet_dropout: 0.5
	specify_zdim: True
	weight_decay: 0.0
	z_dim: 128
cuda
/root/miniconda3/lib/python3.8/site-packages/torchvision/transforms/functional.py:984: UserWarning: Argument resample is deprecated and will be removed since v0.10.0. Please, use interpolation instead
  warnings.warn(
env0_out_acc  env3_in_acc   env3_out_acc  epoch         kl            kl_aux        loss          penalty       step          step_time    
0.0968709816  0.0991000643  0.0977282469  0.0000000000  0.4356911182  0.3578852415  2.3109977245  162.18379211  0             0.1289548874 
0.1165880840  0.1080994215  0.1110158594  1.0000000000  0.0179149655  0.0167480397  2.5064338266  2.5159353304  146           0.0277106468 
0.0934419203  0.1047782301  0.1080154308  2.0000000000  0.0030363627  0.0029935216  2.4604539708  0.2255669290  292           0.0280577565 
0.0934419203  0.1047782301  0.1080154308  3.0000000000  0.0014206890  0.0018257980  2.7534793632  0.1026562822  438           0.0281708665 
0.0934419203  0.1047782301  0.1080154308  4.0000000000  0.0008507828  0.0008160643  2.7432143998  0.0684404336  584           0.0280619680 
0.0934419203  0.1047782301  0.1080154308  5.0000000000  0.0008188984  0.0009805234  2.7475769895  0.0458203464  730           0.0278091725 
0.0934419203  0.1047782301  0.1080154308  6.0000000000  -0.000205996  0.0001895289  2.7475770124  0.0360248364  876           0.0278437872 
0.0934419203  0.1047782301  0.1080154308  7.0000000000  0.0004033030  0.0001949619  2.7367987992  0.0281169458  1022          0.0279582216 
0.0934419203  0.1047782301  0.1080154308  8.0000000000  0.0003228473  0.0004606329  2.7506565166  0.0215972413  1168          0.0279220539 
0.0934419203  0.1047782301  0.1080154308  9.0000000000  0.0001736920  0.0002197615  2.7419312702  0.0166589672  1314          0.0276884102 
